number,title,state,created_at,updated_at,labels
7966,Add `Module#anonymous?`.,open,2023-06-21T10:47:22Z,2024-01-16T04:46:15Z,Playground
7960,Add `IO::Buffer#cat` for concat two IO::Buffer instances,open,2023-06-19T16:29:46Z,2023-06-19T23:02:56Z,
7959,Introduce rb_scan_args_with macro,open,2023-06-19T12:02:01Z,2023-06-30T14:06:56Z,
7917,objspace_dump.c: don't skip object's class in references,open,2023-06-08T12:54:32Z,2023-06-08T12:54:32Z,
7914,Extend opt0,open,2023-06-07T11:58:39Z,2023-06-08T06:26:23Z,
7905,Introduce `define_without_accessor` macro,open,2023-06-04T12:46:33Z,2023-07-24T23:40:14Z,
7904,[DOC] packed_data.rdoc spelling & comment spacing.,open,2023-06-04T01:32:30Z,2023-10-25T07:08:22Z,Documentation
7894,Introduce `enum rb_io_mode`.,open,2023-06-02T06:29:39Z,2023-06-02T08:36:47Z,
7875,Mark the classpath field for T_ICLASS.,open,2023-05-31T05:46:42Z,2023-06-06T02:30:06Z,
7854,Simplify rb_vm_search_cf_from_ep,open,2023-05-24T13:42:23Z,2024-08-16T13:48:58Z,
7825,Remove writev support.,open,2023-05-18T14:46:55Z,2023-05-19T04:06:45Z,
7795,Added more sample ruby code,open,2023-05-09T21:58:47Z,2023-09-18T13:25:19Z,
7762,add a thread test with waitpid on btest,open,2023-04-26T08:11:31Z,2023-04-26T08:11:31Z,
7732,Warn end-less method definition across newlines,open,2023-04-18T08:21:50Z,2023-04-18T08:32:50Z,
7711,[Bug #19417] Make word prop match join_control ...,open,2023-04-13T18:43:57Z,2023-11-30T18:40:21Z,
7676,thread_pthread: Grow main_stack if required (fixes tests on HPPA),open,2023-04-07T15:21:53Z,2023-04-09T04:18:37Z,
7656,Fix calls to require_internal in multi-ractor mode,open,2023-04-04T20:29:47Z,2023-04-17T08:49:59Z,
7599,vm_dump.c: Fix duplicate dump in LoongArch64.,open,2023-03-28T02:09:20Z,2023-03-28T02:09:20Z,
7588,Skip WBs when we don't need to execute them,open,2023-03-23T23:38:49Z,2024-02-15T17:59:01Z,
7561,Try to more accurately estimate the number of IVs on an object,open,2023-03-17T19:39:06Z,2023-03-17T20:13:56Z,
7548,Don't include MakeMakefile into global namespace during tests,open,2023-03-16T23:57:22Z,2023-03-21T01:58:30Z,
7439,Array#lbound and Array#lbound_index,open,2023-03-03T19:45:27Z,2023-10-26T01:45:22Z,
7427,Implement GC.disable_promotion,open,2023-03-02T21:19:52Z,2023-03-03T08:10:07Z,
7425,"File takes a long time to load, this reduces start time of test-all by ~10s",open,2023-03-02T20:48:31Z,2023-03-03T14:35:38Z,
7404,Implement Write Barrier for autoload_const_type,open,2023-02-28T09:43:50Z,2023-02-28T13:38:30Z,
7403,variable.c: Set the autoload ivar to Qfalse rather than delete it,open,2023-02-28T09:10:51Z,2023-03-01T18:59:02Z,
7395,test/unit tool: fix issue where multiple files open same test class with -j option,open,2023-02-27T19:16:45Z,2023-02-28T23:58:45Z,
7382,test/unit tool: fix colorization for failures/skips,open,2023-02-25T15:42:49Z,2023-02-25T15:46:05Z,
7381,test/unit tool: better INT signal handling in parallel runner,open,2023-02-25T15:18:05Z,2023-02-25T15:18:05Z,
7375,"For make test-all TESTOPTS=""-j4"", show failures immediately",open,2023-02-24T20:53:18Z,2023-12-28T21:24:41Z,
7369,"make test-all, can give --name /regexp/i now (case insensitive)",open,2023-02-24T00:49:32Z,2023-02-24T00:49:32Z,
7366,[win32/registry] Fallback to UTF-8 for unknown codepages,open,2023-02-23T21:29:45Z,2023-02-23T21:32:41Z,
7338,Changes in Array#index Documentation,open,2023-02-18T17:19:17Z,2023-10-25T06:29:11Z,Documentation
7329,Clarify __FILE__ returns a relative path,open,2023-02-16T22:55:34Z,2023-02-17T02:13:16Z,Documentation
7324,Introduce RUBY_GC_AGING_FACTOR,open,2023-02-16T13:50:10Z,2023-12-28T07:36:29Z,
7250,Expose counts for each GC reason in GC.stat,open,2023-02-06T09:22:57Z,2023-02-21T09:08:52Z,
7201,[Feature #18915] Scope change for `NotImplementedError`,open,2023-01-30T21:26:28Z,2023-02-01T21:01:07Z,
7184,Make tracepoints with set_trace_func or TracePoint.new ractor local,open,2023-01-25T23:17:12Z,2024-05-29T02:02:32Z,
7182,Ractor.make_shareable(proc_obj) makes inner structure shareable,open,2023-01-25T12:49:17Z,2023-10-26T01:48:35Z,
7181,"WIP: .github/workflows/compilers.yml: Run by a regular user ""ci"".",open,2023-01-25T12:04:58Z,2024-03-18T16:22:10Z,
7175,Add ractor bootstraptest test for isolated (shareable) procs,open,2023-01-22T18:56:28Z,2023-01-22T18:59:13Z,
7174,Throw RuntimeError if getting/setting ractor local storage for non-main ractor,open,2023-01-22T14:48:41Z,2023-01-22T14:48:41Z,
7084,sendmsg with string array,open,2023-01-07T13:22:19Z,2023-01-07T16:16:07Z,
7052,Remove description and codes of experimental warnings related pattern matching from documentation and test,open,2023-01-01T11:16:28Z,2023-01-01T12:05:35Z,
7043,Fix Ripper::Lexer::State#[] incompatibility,open,2022-12-29T13:32:04Z,2023-10-26T03:11:02Z,
7034,Windows: Simplify ENV code by removing compatibility and duplicated code,open,2022-12-27T15:31:28Z,2024-01-29T08:37:11Z,
6990,Stop nitpicking tzdata,open,2022-12-22T06:25:33Z,2023-03-26T13:13:00Z,
6920,"Improve performance of `f(*a, **kw)` style method dispatch",open,2022-12-13T18:55:25Z,2023-01-13T08:58:33Z,
6913,Add `Exception#root_cause`,open,2022-12-12T23:30:29Z,2023-02-16T14:48:10Z,
6908,"[Bug#19168] ""such file"" is bad grammar",open,2022-12-12T11:37:54Z,2023-10-25T07:12:33Z,Documentation
6897,Windows: Set nonblock=true on pipes and non-datagram sockets,open,2022-12-10T00:55:59Z,2023-06-09T23:11:31Z,
6880,[DOC] rb_reg_new_str,open,2022-12-08T14:02:05Z,2022-12-08T15:48:18Z,Documentation
6875,Add Windows support to `rsock_make_fd_nonblock`.,open,2022-12-08T01:01:37Z,2022-12-08T01:01:37Z,
6874,"`IO.pipe` should be non-blocking by default, even on Windows.",open,2022-12-07T22:25:34Z,2022-12-17T20:43:32Z,
6822,Implement a Socket::Credentials struct for handling unix socket creds,open,2022-11-28T08:36:15Z,2023-01-04T04:54:38Z,
6674,YJIT: Implement fast Module#===,open,2022-11-04T18:16:50Z,2022-11-07T18:33:39Z,
6660,RbConfig.expand: handle frozen strings,open,2022-11-02T12:22:48Z,2022-12-01T16:41:46Z,
6613,Copy on write st_table.,open,2022-10-22T06:56:13Z,2022-10-23T20:08:13Z,
6609,Move allocator callback into RClass,open,2022-10-21T20:30:15Z,2022-10-23T20:16:13Z,
6554,Add Fiber.annotation and related attribute.,open,2022-10-15T00:09:10Z,2022-10-16T08:51:13Z,
6480,Separate yjit tests from bootstraptest,open,2022-10-01T09:14:45Z,2022-10-16T08:51:14Z,
6452,Print an error message before rb_ractor_terminate_all,open,2022-09-27T06:37:16Z,2022-11-11T20:51:53Z,
6423,[ruby/net-http] Use nonblocking IO to detect eof,open,2022-09-22T20:42:25Z,2022-10-16T08:51:14Z,
6384,Add RUN_OPTS to benchmark,open,2022-09-15T16:07:19Z,2023-11-22T15:50:26Z,
6378,WIP Fixes [Bug #18983] Range#size for beginless Range is not nil.,open,2022-09-14T21:45:39Z,2023-12-07T23:38:35Z,
6374,Update emoji data,open,2022-09-14T14:13:18Z,2022-10-16T08:51:14Z,
6351,Add rb_enc_set_index_fastpath and use it with rb_enc_cr_str_copy_for_substr,open,2022-09-09T23:06:57Z,2022-11-22T12:58:07Z,
6335,Include anytostring inside concatstrings,open,2022-09-08T13:14:22Z,2022-10-16T08:51:14Z,
6300,mkmf: Log stderr output in xsystem method,open,2022-08-29T15:44:09Z,2024-05-15T22:12:58Z,
6288,lib/mkmf.rb: retry FileUtils.rm_rf/rm_f up to three times,open,2022-08-26T03:47:40Z,2022-10-16T08:51:14Z,
6285,Queue/SizedQueue benchmarks for fibers (& threads),open,2022-08-25T13:55:12Z,2023-06-08T16:57:03Z,
6281,Change Time methods to not accept 8 arguments,open,2022-08-24T18:05:30Z,2022-10-16T08:51:14Z,
6275,Implement String#byteslice!,open,2022-08-23T13:45:23Z,2023-06-21T12:43:03Z,
6272,Update addrinfo error message,open,2022-08-22T21:56:26Z,2022-10-16T08:51:14Z,
6238,Separate JIT support options,open,2022-08-13T04:36:09Z,2022-10-16T08:51:15Z,
6217,Enable checks for format specifiers of `RUBY_DEBUG_LOG`,open,2022-08-06T11:22:46Z,2022-10-16T08:51:14Z,
6204,configure.ac: Use xcrun for tools in binutils on darwin,open,2022-08-01T04:09:38Z,2022-10-16T08:51:14Z,
6179,string.c: query the real capacity with malloc_usable_size,open,2022-07-25T10:26:14Z,2022-10-16T08:51:14Z,
6068,Allow trailing comma after massign lhs,open,2022-06-27T13:18:44Z,2022-10-16T08:51:15Z,
6056,Fix typo otherBasis -> orthoBasis,open,2022-06-23T12:42:45Z,2022-12-08T10:46:46Z,
5979,Mark Fibers in Mutex/Queue/SizedQueue wait lists,open,2022-06-06T18:23:45Z,2023-06-22T03:57:50Z,
